Oct. 19, 2022   12:46:34
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 50
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

1.00000e-1, -3.20028e-9
2.00000e-1, -3.16819e-9
3.00000e-1, -3.14221e-9
4.00000e-1, -3.12173e-9
5.00000e-1, -3.10466e-9
6.00000e-1, -3.09032e-9
7.00000e-1, -3.07789e-9
8.00000e-1, -3.06719e-9
9.00000e-1, -3.05772e-9
1.00000e+0, -3.04916e-9
1.10000e+0, -3.04113e-9
1.20000e+0, -3.03463e-9
1.30000e+0, -3.02839e-9
1.40000e+0, -3.02263e-9
1.50000e+0, -3.01714e-9
1.60000e+0, -3.01262e-9
1.70000e+0, -3.00795e-9
1.80000e+0, -3.00373e-9
1.90000e+0, -2.99996e-9
2.00000e+0, -2.99603e-9
2.10000e+0, -2.99252e-9
2.20000e+0, -2.98957e-9
2.30000e+0, -2.98679e-9
2.40000e+0, -2.98348e-9
2.50000e+0, -2.98039e-9
2.60000e+0, -2.97805e-9
2.70000e+0, -2.97572e-9
2.80000e+0, -2.97325e-9
2.90000e+0, -2.97099e-9
3.00000e+0, -2.96888e-9
3.10000e+0, -2.96662e-9
3.20000e+0, -2.96504e-9
3.30000e+0, -2.96311e-9
3.40000e+0, -2.96082e-9
3.50000e+0, -2.95938e-9
3.60000e+0, -2.95725e-9
3.70000e+0, -2.95568e-9
3.80000e+0, -2.95415e-9
3.90000e+0, -2.95296e-9
4.00000e+0, -2.95129e-9
4.10000e+0, -2.94991e-9
4.20000e+0, -2.94864e-9
4.30000e+0, -2.94692e-9
4.40000e+0, -2.94572e-9
4.50000e+0, -2.94461e-9
4.60000e+0, -2.94287e-9
4.70000e+0, -2.94207e-9
4.80000e+0, -2.94084e-9
4.90000e+0, -2.93937e-9
5.00000e+0, -2.93825e-9
5.10000e+0, -2.93715e-9
5.20000e+0, -2.93629e-9
5.30000e+0, -2.93537e-9
5.40000e+0, -2.93462e-9
5.50000e+0, -2.93329e-9
5.60000e+0, -2.93225e-9
5.70000e+0, -2.93154e-9
5.80000e+0, -2.93041e-9
5.90000e+0, -2.92979e-9
6.00000e+0, -2.92856e-9
6.10000e+0, -2.92795e-9
6.20000e+0, -2.92706e-9
