Oct. 19, 2022   13:05:27
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

1.79000e+1, -2.94794e-9
1.80000e+1, -2.94786e-9
1.81000e+1, -2.94741e-9
1.82000e+1, -2.94747e-9
1.83000e+1, -2.94719e-9
1.84000e+1, -2.94687e-9
1.85000e+1, -2.94712e-9
1.86000e+1, -2.94674e-9
1.87000e+1, -2.94659e-9
1.88000e+1, -2.94621e-9
1.89000e+1, -2.94595e-9
1.90000e+1, -2.94605e-9
1.91000e+1, -2.94585e-9
1.92000e+1, -2.94558e-9
1.93000e+1, -2.94551e-9
1.94000e+1, -2.94524e-9
1.95000e+1, -2.94517e-9
1.96000e+1, -2.94519e-9
1.97000e+1, -2.94512e-9
1.98000e+1, -2.94459e-9
1.99000e+1, -2.94450e-9
2.00000e+1, -2.94414e-9
2.01000e+1, -2.94419e-9
2.02000e+1, -2.94388e-9
2.03000e+1, -2.94381e-9
2.04000e+1, -2.94391e-9
2.05000e+1, -2.94353e-9
2.06000e+1, -2.94342e-9
2.07000e+1, -2.94292e-9
2.08000e+1, -2.94307e-9
2.09000e+1, -2.94266e-9
2.10000e+1, -2.94259e-9
2.11000e+1, -2.94281e-9
2.12000e+1, -2.94255e-9
2.13000e+1, -2.94245e-9
2.14000e+1, -2.94209e-9
2.15000e+1, -2.94161e-9
2.16000e+1, -2.94184e-9
2.17000e+1, -2.94152e-9
2.18000e+1, -2.94167e-9
2.19000e+1, -2.94108e-9
2.20000e+1, -2.94104e-9
2.21000e+1, -2.94096e-9
2.22000e+1, -2.94071e-9
2.23000e+1, -2.94063e-9
2.24000e+1, -2.94058e-9
2.25000e+1, -2.94032e-9
2.26000e+1, -2.94043e-9
2.27001e+1, -2.94020e-9
2.28001e+1, -2.93998e-9
2.29001e+1, -2.93983e-9
2.30001e+1, -2.93963e-9
2.31001e+1, -2.93953e-9
2.32001e+1, -2.93914e-9
2.33001e+1, -2.93938e-9
2.34001e+1, -2.93916e-9
2.35001e+1, -2.93892e-9
2.36001e+1, -2.93853e-9
2.37001e+1, -2.93869e-9
2.38001e+1, -2.93850e-9
2.39001e+1, -2.93849e-9
2.40001e+1, -2.93844e-9
2.41001e+1, -2.93808e-9
2.42001e+1, -2.93824e-9
